f1,precision,recall,accuracy,auc,fold,method
0.9281,0.9313,0.9250,0.9347,0.9577,1,FedAvg-MLP
0.9308,0.9341,0.9276,0.9372,0.9598,2,FedAvg-MLP
0.9324,0.9357,0.9292,0.9389,0.9612,3,FedAvg-MLP
0.9339,0.9371,0.9308,0.9404,0.9619,4,FedAvg-MLP
0.9310,0.9342,0.9279,0.9376,0.9599,5,FedAvg-MLP
0.9417,0.9443,0.9392,0.9479,0.9691,1,Centralized-MLP
0.9438,0.9465,0.9412,0.9499,0.9708,2,Centralized-MLP
0.9451,0.9478,0.9425,0.9512,0.9718,3,Centralized-MLP
0.9461,0.9488,0.9435,0.9521,0.9726,4,Centralized-MLP
0.9440,0.9466,0.9415,0.9500,0.9714,5,Centralized-MLP
