dataset,method,F1_mean,F1_std,AUC,privacy
NSL-KDD,SENTINEL_EGO,0.9604,0.0053,0.9883,eps=1.4042
NSL-KDD,Sarhan_2022,0.9573,0.0025,0.9887,no DP
NSL-KDD,B2_Centralized_LightGBM,0.9392,0.0060,0.9836,no DP
NSL-KDD,Zhao_2020,0.9258,0.0068,0.9781,no DP
NSL-KDD,B3_Centralized_RF,0.9252,0.0071,0.9758,no DP
CICIDS2017,Sarhan_2022,0.9855,0.0003,0.9943,no DP
CICIDS2017,SENTINEL_EGO,0.9732,0.0009,0.9928,eps=1.4042
CICIDS2017,B3_Centralized_RF,0.9479,0.0010,0.9855,no DP
CICIDS2017,B2_Centralized_LightGBM,0.9463,0.0009,0.9853,no DP
CICIDS2017,Zhao_2020,0.9314,0.0009,0.9794,no DP
UNSW-NB15,Sarhan_2022,0.9799,0.0004,0.9925,no DP
UNSW-NB15,SENTINEL_EGO,0.9721,0.0011,0.9917,eps=1.4042
UNSW-NB15,B2_Centralized_LightGBM,0.9453,0.0014,0.9859,no DP
UNSW-NB15,B3_Centralized_RF,0.9345,0.0016,0.9856,no DP
UNSW-NB15,Zhao_2020,0.9322,0.0015,0.9821,no DP
