archetype,A1_stump,A2_mlp,A3_rf,A4_hsja,pass
Careful_Planner,0.8227,0.8994,0.4875,1.0000,PASS
Social_Butterfly,0.8965,0.8957,0.6615,0.8000,PASS
Lone_Wolf,0.8712,0.9857,0.5175,1.0000,PASS
Night_Owl,0.8784,1.0000,0.3170,1.0000,PASS
Collaborator,0.8420,0.7509,0.5865,0.8333,PASS
Info_Seeker,0.9600,0.9952,0.5424,0.9655,PASS
Data_Handler,0.9377,0.7118,0.5143,0.9630,PASS
System_Admin,0.8011,0.8514,0.6292,0.8276,PASS
External_Comm,0.9141,0.8747,0.6475,0.9667,PASS
Multi_Tasker,0.9389,0.9453,0.7091,0.8667,PASS
MEAN,0.8863,0.8910,0.5613,0.9223,10/10
