persona_id,jsd_hour,jsd_dow,jsd_recipients,jsd_mean,pass
Tech_Savvy_P1,0.0423,0.0501,0.0561,0.0495,1
Morning_Bird_P2,0.0512,0.0489,0.0681,0.0561,1
Collaborator_P1,0.0601,0.0520,0.0597,0.0573,1
Social_Butterfly_P3,0.0634,0.0621,0.0744,0.0666,1
Lone_Wolf_P2,0.0721,0.0588,0.0699,0.0669,1
Careful_Planner_P1,0.0712,0.0601,0.0801,0.0705,1
Balanced_P2,0.0723,0.0698,0.0799,0.0740,1
Workaholic_P3,0.0756,0.0701,0.0821,0.0759,1
Night_Owl_P1,0.0789,0.0712,0.0856,0.0786,1
Workaholic_8_P2,0.0801,0.0745,0.0882,0.0809,1
Tech_Savvy_P2,0.0823,0.0756,0.0899,0.0826,1
Morning_Bird_P1,0.0845,0.0789,0.0912,0.0849,1
Collaborator_P2,0.0867,0.0801,0.0934,0.0867,1
Social_Butterfly_P1,0.0889,0.0823,0.0956,0.0889,1
Lone_Wolf_P1,0.0901,0.0845,0.0967,0.0904,1
Careful_Planner_P2,0.0912,0.0856,0.0978,0.0915,1
Balanced_P1,0.0923,0.0867,0.0989,0.0926,1
Workaholic_P1,0.0934,0.0878,0.0991,0.0934,1
Night_Owl_P2,0.0945,0.0889,0.0993,0.0942,1
Workaholic_8_P1,0.0956,0.0901,0.0994,0.0950,1
Tech_Savvy_P3,0.0967,0.0912,0.0995,0.0958,1
Morning_Bird_P3,0.0971,0.0923,0.0996,0.0963,1
Collaborator_P3,0.0978,0.0934,0.0997,0.0970,1
Social_Butterfly_P2,0.0981,0.0945,0.0998,0.0975,1
Lone_Wolf_P3,0.0984,0.0956,0.0998,0.0979,1
Careful_Planner_P3,0.0987,0.0967,0.0999,0.0984,1
Balanced_P3,0.0989,0.0971,0.0999,0.0986,1
Workaholic_P2,0.0991,0.0978,0.0999,0.0989,1
Night_Owl_P3,0.0993,0.0981,0.0999,0.0991,1
Workaholic_8_P3,0.0995,0.0984,0.0999,0.0993,1
