dataset,model,f1_mean,f1_std,auc_mean,precision,recall,n_samples,attack_ratio
KDDCup99-SF,RandomForest,0.9471,0.0034,0.9536,0.9954,0.9033,73237,0.050
KDDCup99-SF,XGBoost,0.9471,0.0034,0.9510,0.9954,0.9033,73237,0.050
KDDCup99-SF,LightGBM,0.9471,0.0034,0.9513,0.9954,0.9033,73237,0.050
KDDCup99-SF,MLP,0.9410,0.0035,0.9503,0.9821,0.9033,73237,0.050
NSL-KDD,RandomForest,0.9425,0.0023,0.9829,0.9894,0.8998,22544,0.567
NSL-KDD,XGBoost,0.9550,0.0018,0.9847,0.9864,0.9256,22544,0.567
NSL-KDD,LightGBM,0.9565,0.0025,0.9848,0.9867,0.9281,22544,0.567
NSL-KDD,MLP,0.9493,0.0023,0.9768,0.9481,0.9506,22544,0.567
NetIntrusion,RandomForest,0.9313,0.0027,0.9815,0.9846,0.8836,25000,0.467
NetIntrusion,XGBoost,0.9520,0.0025,0.9830,0.9840,0.9220,25000,0.467
NetIntrusion,LightGBM,0.9528,0.0021,0.9831,0.9832,0.9244,25000,0.467
NetIntrusion,MLP,0.9507,0.0028,0.9767,0.9487,0.9528,25000,0.467
CICIDS2017,RandomForest,0.9206,0.0020,0.9759,0.9797,0.8683,150000,0.462
CICIDS2017,XGBoost,0.9448,0.0012,0.9767,0.9761,0.9154,150000,0.462
CICIDS2017,LightGBM,0.9443,0.0015,0.9767,0.9765,0.9141,150000,0.462
CICIDS2017,MLP,0.9314,0.0035,0.9517,0.9284,0.9345,150000,0.462
UNSW-NB15,RandomForest,0.8671,0.0040,0.9533,0.9865,0.7735,100000,0.326
UNSW-NB15,XGBoost,0.8852,0.0038,0.9594,0.9771,0.8091,100000,0.326
UNSW-NB15,LightGBM,0.8856,0.0038,0.9598,0.9791,0.8085,100000,0.326
UNSW-NB15,MLP,0.8441,0.0029,0.9235,0.8409,0.8476,100000,0.326
