dataset,archetype,isolated_f1,federated_f1,gain
KDDCup99-SF,Morning Bird,0.9384,0.9632,0.0249
KDDCup99-SF,Collaborator,0.9569,0.9670,0.0101
KDDCup99-SF,Balanced,0.9385,0.9483,0.0098
KDDCup99-SF,Workaholic,0.9598,0.9668,0.0069
KDDCup99-SF,Night Owl,0.9613,0.9654,0.0041
KDDCup99-SF,Tech Savvy,0.9627,0.9709,0.0082
KDDCup99-SF,Careful Planner,0.9725,0.9680,-0.0045
KDDCup99-SF,Lone Wolf,0.9804,0.9696,-0.0108
KDDCup99-SF,Workaholic-8,0.9882,0.9743,-0.0139
KDDCup99-SF,Social Butterfly,0.9789,0.9672,-0.0117
NSL-KDD,Morning Bird,0.9333,0.9487,0.0154
NSL-KDD,Collaborator,0.9231,0.9519,0.0288
NSL-KDD,Balanced,0.9490,0.9848,0.0358
NSL-KDD,Workaholic,0.9415,0.9670,0.0254
NSL-KDD,Night Owl,0.9650,0.9853,0.0203
NSL-KDD,Tech Savvy,0.9424,0.9882,0.0458
NSL-KDD,Careful Planner,0.9635,0.9875,0.0240
NSL-KDD,Lone Wolf,0.9649,0.9895,0.0247
NSL-KDD,Workaholic-8,0.9790,0.9944,0.0154
NSL-KDD,Social Butterfly,0.9767,0.9939,0.0172
NetIntrusion,Morning Bird,0.8738,0.9259,0.0521
NetIntrusion,Collaborator,0.9171,0.9462,0.0291
NetIntrusion,Balanced,0.9474,0.9745,0.0272
NetIntrusion,Workaholic,0.9159,0.9582,0.0423
NetIntrusion,Night Owl,0.9375,0.9744,0.0369
NetIntrusion,Tech Savvy,0.9315,0.9677,0.0362
NetIntrusion,Careful Planner,0.9377,0.9714,0.0337
NetIntrusion,Lone Wolf,0.9656,0.9881,0.0224
NetIntrusion,Workaholic-8,0.9811,0.9912,0.0101
NetIntrusion,Social Butterfly,0.9868,0.9945,0.0076
CICIDS2017,Morning Bird,0.8278,0.8418,0.0140
CICIDS2017,Collaborator,0.8699,0.8963,0.0265
CICIDS2017,Balanced,0.8938,0.9155,0.0216
CICIDS2017,Workaholic,0.9076,0.9320,0.0244
CICIDS2017,Night Owl,0.9265,0.9327,0.0062
CICIDS2017,Tech Savvy,0.9334,0.9448,0.0114
CICIDS2017,Careful Planner,0.9480,0.9527,0.0047
CICIDS2017,Lone Wolf,0.9592,0.9566,-0.0026
CICIDS2017,Workaholic-8,0.9689,0.9625,-0.0064
CICIDS2017,Social Butterfly,0.9747,0.9713,-0.0033
UNSW-NB15,Morning Bird,0.8136,0.8534,0.0399
UNSW-NB15,Collaborator,0.8462,0.8699,0.0237
UNSW-NB15,Balanced,0.8657,0.8687,0.0030
UNSW-NB15,Workaholic,0.8671,0.8849,0.0178
UNSW-NB15,Night Owl,0.9012,0.9018,0.0006
UNSW-NB15,Tech Savvy,0.9168,0.9031,-0.0137
UNSW-NB15,Careful Planner,0.9244,0.9122,-0.0122
UNSW-NB15,Lone Wolf,0.9163,0.9106,-0.0058
UNSW-NB15,Workaholic-8,0.9441,0.9344,-0.0097
UNSW-NB15,Social Butterfly,0.9564,0.9394,-0.0170
