round,strategy,jsd_drift,detection_f1,detection_auc,mutation_rate
1,evasive,0.0575,0.9992,1.0000,0.15
2,mimicry,0.0641,0.9926,0.9999,0.15
3,noise,0.0714,0.9771,0.9998,0.15
4,evasive,0.1035,0.9721,0.9997,0.15
5,mimicry,0.1198,0.9681,0.9996,0.15
6,noise,0.1312,0.9643,0.9995,0.15
7,evasive,0.1487,0.9610,0.9994,0.15
8,mimicry,0.1589,0.9581,0.9993,0.15
9,noise,0.1648,0.9586,0.9993,0.15
10,evasive,0.1802,0.9592,0.9992,0.15
11,mimicry,0.1921,0.9598,0.9992,0.15
12,noise,0.2010,0.9599,0.9991,0.15
13,evasive,0.2087,0.9591,0.9991,0.15
14,mimicry,0.2156,0.9587,0.9990,0.15
15,noise,0.2200,0.9586,0.9990,0.15
