dataset,round,attack_type,sentinel_f1,legacy_f1,jsd
KDDCup99-SF,1,evasive,0.9450,0.9450,0.0759
KDDCup99-SF,2,mimicry,0.9450,0.9450,0.0871
KDDCup99-SF,3,noise,0.9450,0.9450,0.1192
KDDCup99-SF,4,evasive,0.9450,0.9450,0.0894
KDDCup99-SF,5,mimicry,0.9450,0.9450,0.0881
KDDCup99-SF,6,noise,0.9450,0.9450,0.1013
KDDCup99-SF,7,evasive,0.9450,0.9450,0.0976
KDDCup99-SF,8,mimicry,0.9450,0.9450,0.0967
KDDCup99-SF,9,noise,0.9450,0.9450,0.1022
KDDCup99-SF,10,evasive,0.9450,0.9450,0.0926
KDDCup99-SF,11,mimicry,0.9450,0.9450,0.0849
KDDCup99-SF,12,noise,0.9450,0.9450,0.1289
KDDCup99-SF,13,evasive,0.9450,0.9450,0.0909
KDDCup99-SF,14,mimicry,0.9450,0.9450,0.1101
KDDCup99-SF,15,noise,0.9450,0.9450,0.1217
NSL-KDD,1,evasive,0.9507,0.9353,0.0656
NSL-KDD,2,mimicry,0.9513,0.9353,0.0652
NSL-KDD,3,noise,0.9541,0.9353,0.0898
NSL-KDD,4,evasive,0.9492,0.9353,0.0489
NSL-KDD,5,mimicry,0.9501,0.9353,0.0819
NSL-KDD,6,noise,0.9531,0.9354,0.0783
NSL-KDD,7,evasive,0.9496,0.9353,0.1113
NSL-KDD,8,mimicry,0.9503,0.9353,0.0654
NSL-KDD,9,noise,0.9534,0.9353,0.0889
NSL-KDD,10,evasive,0.9477,0.9353,0.0757
NSL-KDD,11,mimicry,0.9486,0.9353,0.0848
NSL-KDD,12,noise,0.9518,0.9354,0.1915
NSL-KDD,13,evasive,0.9460,0.9353,0.0810
NSL-KDD,14,mimicry,0.9466,0.9354,0.0777
NSL-KDD,15,noise,0.9530,0.9353,0.1094
NetIntrusion,1,evasive,0.9472,0.9205,0.0513
NetIntrusion,2,mimicry,0.9465,0.9205,0.0471
NetIntrusion,3,noise,0.9569,0.9207,0.0543
NetIntrusion,4,evasive,0.9432,0.9205,0.0590
NetIntrusion,5,mimicry,0.9453,0.9205,0.0517
NetIntrusion,6,noise,0.9578,0.9212,0.0999
NetIntrusion,7,evasive,0.9422,0.9205,0.0915
NetIntrusion,8,mimicry,0.9446,0.9207,0.0684
NetIntrusion,9,noise,0.9575,0.9207,0.2097
NetIntrusion,10,evasive,0.9410,0.9205,0.0426
NetIntrusion,11,mimicry,0.9426,0.9205,0.0672
NetIntrusion,12,noise,0.9581,0.9207,0.1003
NetIntrusion,13,evasive,0.9366,0.9205,0.0512
NetIntrusion,14,mimicry,0.9413,0.9205,0.0636
NetIntrusion,15,noise,0.9558,0.9210,0.0678
CICIDS2017,1,evasive,0.9323,0.9002,0.0443
CICIDS2017,2,mimicry,0.9312,0.9002,0.0308
CICIDS2017,3,noise,0.9552,0.9003,0.0509
CICIDS2017,4,evasive,0.9289,0.9002,0.0308
CICIDS2017,5,mimicry,0.9301,0.9003,0.0302
CICIDS2017,6,noise,0.9557,0.9004,0.0484
CICIDS2017,7,evasive,0.9266,0.9002,0.0199
CICIDS2017,8,mimicry,0.9275,0.9002,0.0482
CICIDS2017,9,noise,0.9567,0.9003,0.0491
CICIDS2017,10,evasive,0.9235,0.9002,0.0540
CICIDS2017,11,mimicry,0.9257,0.9004,0.0672
CICIDS2017,12,noise,0.9575,0.9005,0.0401
CICIDS2017,13,evasive,0.9199,0.9002,0.0242
CICIDS2017,14,mimicry,0.9243,0.9004,0.0389
CICIDS2017,15,noise,0.9576,0.9006,0.0465
UNSW-NB15,1,evasive,0.8697,0.7801,0.0254
UNSW-NB15,2,mimicry,0.8698,0.7808,0.0774
UNSW-NB15,3,noise,0.8997,0.8169,0.0655
UNSW-NB15,4,evasive,0.8669,0.7771,0.0289
UNSW-NB15,5,mimicry,0.8675,0.7789,0.0406
UNSW-NB15,6,noise,0.8996,0.8170,0.0635
UNSW-NB15,7,evasive,0.8639,0.7736,0.0460
UNSW-NB15,8,mimicry,0.8655,0.7770,0.0254
UNSW-NB15,9,noise,0.9021,0.8183,0.0741
UNSW-NB15,10,evasive,0.8612,0.7710,0.0231
UNSW-NB15,11,mimicry,0.8654,0.7762,0.0551
UNSW-NB15,12,noise,0.9016,0.8201,0.0373
UNSW-NB15,13,evasive,0.8584,0.7665,0.0815
UNSW-NB15,14,mimicry,0.8637,0.7729,0.0237
UNSW-NB15,15,noise,0.9036,0.8192,0.0667
