dataset,model,f1_mean,f1_std,auc_mean
KDDCup99-SF,RandomForest,0.9995,0.0001,0.9997
KDDCup99-SF,XGBoost,0.9993,0.0001,0.9999
KDDCup99-SF,LightGBM,0.9995,0.0001,0.9998
NSL-KDD,RandomForest,0.9986,0.0002,1.0
NSL-KDD,XGBoost,0.9984,0.0003,1.0
NSL-KDD,LightGBM,0.9991,0.0003,1.0
NetIntrusion,RandomForest,0.9992,0.0001,1.0
NetIntrusion,XGBoost,0.9989,0.0005,1.0
NetIntrusion,LightGBM,0.9993,0.0002,1.0
CICIDS2017,RandomForest,0.9954,0.0005,0.9995
CICIDS2017,XGBoost,0.9959,0.0007,0.9997
CICIDS2017,LightGBM,0.9979,0.0003,0.9998
UNSW-NB15,RandomForest,0.9778,0.0004,0.9974
UNSW-NB15,XGBoost,0.9762,0.0001,0.9971
UNSW-NB15,LightGBM,0.9801,0.0003,0.998
