dataset,component,f1_mean,f1_std,delta_f1
KDDCup99-SF,W/o Sentinel (Legacy IDS),0.9471,0.0034,0.0000
KDDCup99-SF,+ PBI Behavioral Context,0.9471,0.0034,0.0000
KDDCup99-SF,+ AIF 42-Feature Profiling,0.9466,0.0034,-0.0005
KDDCup99-SF,+ FAL Federation (10 nodes),0.9471,0.0034,0.0000
KDDCup99-SF,+ CDE Evasion-Aware,0.9471,0.0034,0.0000
KDDCup99-SF,Full Pipeline (all components),0.9471,0.0034,0.0000
NSL-KDD,W/o Sentinel (Legacy IDS),0.9392,0.0024,0.0000
NSL-KDD,+ PBI Behavioral Context,0.9414,0.0025,0.0022
NSL-KDD,+ AIF 42-Feature Profiling,0.9584,0.0018,0.0192
NSL-KDD,+ FAL Federation (10 nodes),0.9595,0.0018,0.0203
NSL-KDD,+ CDE Evasion-Aware,0.9532,0.0024,0.0140
NSL-KDD,Full Pipeline (all components),0.9611,0.0027,0.0219
NetIntrusion,W/o Sentinel (Legacy IDS),0.9209,0.0032,0.0000
NetIntrusion,+ PBI Behavioral Context,0.9287,0.0024,0.0078
NetIntrusion,+ AIF 42-Feature Profiling,0.9532,0.0019,0.0323
NetIntrusion,+ FAL Federation (10 nodes),0.9555,0.0012,0.0347
NetIntrusion,+ CDE Evasion-Aware,0.9491,0.0024,0.0282
NetIntrusion,Full Pipeline (all components),0.9566,0.0032,0.0358
CICIDS2017,W/o Sentinel (Legacy IDS),0.8989,0.0019,0.0000
CICIDS2017,+ PBI Behavioral Context,0.9133,0.0021,0.0144
CICIDS2017,+ AIF 42-Feature Profiling,0.9454,0.0014,0.0466
CICIDS2017,+ FAL Federation (10 nodes),0.9497,0.0011,0.0509
CICIDS2017,+ CDE Evasion-Aware,0.9393,0.0012,0.0404
CICIDS2017,Full Pipeline (all components),0.9502,0.0015,0.0514
UNSW-NB15,W/o Sentinel (Legacy IDS),0.8091,0.0049,0.0000
UNSW-NB15,+ PBI Behavioral Context,0.8615,0.0042,0.0524
UNSW-NB15,+ AIF 42-Feature Profiling,0.8853,0.0030,0.0761
UNSW-NB15,+ FAL Federation (10 nodes),0.8890,0.0034,0.0798
UNSW-NB15,+ CDE Evasion-Aware,0.8812,0.0039,0.0720
UNSW-NB15,Full Pipeline (all components),0.8896,0.0024,0.0805
