dataset,archetype,isolated_f1,federated_f1,gain_pct
KDDCup99-SF,Morning Bird,0.9907,0.9905,-0.02
KDDCup99-SF,Collaborator,0.9911,0.9926,0.15
KDDCup99-SF,Balanced,0.9885,0.9882,-0.03
KDDCup99-SF,Workaholic,0.9939,0.9946,0.07
KDDCup99-SF,Night Owl,0.9878,0.9883,0.05
KDDCup99-SF,Tech Savvy,0.9878,0.9873,-0.05
KDDCup99-SF,Careful Planner,0.9899,0.9879,-0.2
KDDCup99-SF,Lone Wolf,0.984,0.9834,-0.06
KDDCup99-SF,Workaholic_8,0.9862,0.9864,0.02
KDDCup99-SF,Social Butterfly,0.9865,0.985,-0.15
NSL-KDD,Morning Bird,0.9932,0.9932,0.0
NSL-KDD,Collaborator,0.989,0.9878,-0.12
NSL-KDD,Balanced,0.9872,0.9875,0.03
NSL-KDD,Workaholic,0.9853,0.9859,0.06
NSL-KDD,Night Owl,0.987,0.9869,-0.01
NSL-KDD,Tech Savvy,0.987,0.9891,0.21
NSL-KDD,Careful Planner,0.9888,0.9879,-0.09
NSL-KDD,Lone Wolf,0.9913,0.9903,-0.1
NSL-KDD,Workaholic_8,0.9894,0.9876,-0.18
NSL-KDD,Social Butterfly,0.9848,0.9852,0.04
NetIntrusion,Morning Bird,0.9906,0.9913,0.07
NetIntrusion,Collaborator,0.9881,0.9883,0.02
NetIntrusion,Balanced,0.984,0.9838,-0.02
NetIntrusion,Workaholic,0.987,0.9886,0.16
NetIntrusion,Night Owl,0.9894,0.9882,-0.12
NetIntrusion,Tech Savvy,0.9894,0.9896,0.02
NetIntrusion,Careful Planner,0.9864,0.9876,0.12
NetIntrusion,Lone Wolf,0.9915,0.993,0.15
NetIntrusion,Workaholic_8,0.9859,0.9861,0.02
NetIntrusion,Social Butterfly,0.9894,0.9909,0.15
CICIDS2017,Morning Bird,0.9839,0.9836,-0.03
CICIDS2017,Collaborator,0.982,0.9807,-0.13
CICIDS2017,Balanced,0.9877,0.989,0.13
CICIDS2017,Workaholic,0.9851,0.986,0.09
CICIDS2017,Night Owl,0.9864,0.9857,-0.07
CICIDS2017,Tech Savvy,0.9864,0.9878,0.14
CICIDS2017,Careful Planner,0.9852,0.9867,0.15
CICIDS2017,Lone Wolf,0.9774,0.9781,0.07
CICIDS2017,Workaholic_8,0.9856,0.9852,-0.04
CICIDS2017,Social Butterfly,0.9856,0.9835,-0.21
UNSW-NB15,Morning Bird,0.9678,0.9689,0.11
UNSW-NB15,Collaborator,0.9729,0.9731,0.02
UNSW-NB15,Balanced,0.9661,0.9663,0.02
UNSW-NB15,Workaholic,0.9712,0.9722,0.1
UNSW-NB15,Night Owl,0.9669,0.9681,0.12
UNSW-NB15,Tech Savvy,0.9688,0.9705,0.17
UNSW-NB15,Careful Planner,0.9664,0.9668,0.04
UNSW-NB15,Lone Wolf,0.9673,0.9665,-0.08
UNSW-NB15,Workaholic_8,0.9694,0.9704,0.1
UNSW-NB15,Social Butterfly,0.9685,0.969,0.05
