dataset,model,f1_score,auc_roc
KDDCup99-SF,RandomForest,0.9992,1.0
KDDCup99-SF,XGBoost,0.9991,0.9999
KDDCup99-SF,LightGBM,0.9992,1.0
KDDCup99-SF,MLP,0.9983,0.9995
NSL-KDD,RandomForest,0.9988,1.0
NSL-KDD,XGBoost,0.9989,1.0
NSL-KDD,LightGBM,0.9993,1.0
NSL-KDD,MLP,0.9971,0.9998
NetIntrusion,RandomForest,0.9984,1.0
NetIntrusion,XGBoost,0.999,1.0
NetIntrusion,LightGBM,0.9988,1.0
NetIntrusion,MLP,0.9974,0.9996
CICIDS2017,RandomForest,0.9953,0.999
CICIDS2017,XGBoost,0.9959,0.9995
CICIDS2017,LightGBM,0.9972,0.9996
CICIDS2017,MLP,0.9583,0.9913
UNSW-NB15,RandomForest,0.9785,0.9975
UNSW-NB15,XGBoost,0.9757,0.9973
UNSW-NB15,LightGBM,0.9802,0.9982
UNSW-NB15,MLP,0.9618,0.9948
