dataset,round,strategy,jsd_drift,detection_f1,base_f1
KDDCup99-SF,1,evasive,0.0185,0.9951,0.9995
KDDCup99-SF,2,mimicry,0.0443,0.998,0.9995
KDDCup99-SF,3,noise,0.0835,0.9935,0.9995
KDDCup99-SF,4,evasive,0.1221,0.9908,0.9995
KDDCup99-SF,5,mimicry,0.1527,0.9822,0.9995
KDDCup99-SF,6,noise,0.1934,0.9886,0.9995
KDDCup99-SF,7,evasive,0.23,0.9809,0.9995
KDDCup99-SF,8,mimicry,0.2579,0.9761,0.9995
KDDCup99-SF,9,noise,0.3085,0.9802,0.9995
KDDCup99-SF,10,evasive,0.343,0.9708,0.9995
KDDCup99-SF,11,mimicry,0.3736,0.9634,0.9995
KDDCup99-SF,12,noise,0.4125,0.9633,0.9995
KDDCup99-SF,13,evasive,0.4526,0.9545,0.9995
KDDCup99-SF,14,mimicry,0.4854,0.9613,0.9995
KDDCup99-SF,15,noise,0.5222,0.9538,0.9995
NSL-KDD,1,evasive,0.0063,0.9935,0.9989
NSL-KDD,2,mimicry,0.0468,0.98,0.9989
NSL-KDD,3,noise,0.0646,0.9656,0.9989
NSL-KDD,4,evasive,0.1069,0.9396,0.9989
NSL-KDD,5,mimicry,0.1253,0.9172,0.9989
NSL-KDD,6,noise,0.1638,0.9045,0.9989
NSL-KDD,7,evasive,0.1925,0.8795,0.9989
NSL-KDD,8,mimicry,0.2372,0.8591,0.9989
NSL-KDD,9,noise,0.2701,0.8395,0.9989
NSL-KDD,10,evasive,0.2911,0.8183,0.9989
NSL-KDD,11,mimicry,0.3283,0.7978,0.9989
NSL-KDD,12,noise,0.3547,0.7744,0.9989
NSL-KDD,13,evasive,0.3898,0.7601,0.9989
NSL-KDD,14,mimicry,0.4146,0.7383,0.9989
NSL-KDD,15,noise,0.4413,0.7222,0.9989
NetIntrusion,1,evasive,0.0082,0.9992,0.9998
NetIntrusion,2,mimicry,0.0392,0.9686,0.9998
NetIntrusion,3,noise,0.0869,0.9375,0.9998
NetIntrusion,4,evasive,0.1346,0.9025,0.9998
NetIntrusion,5,mimicry,0.1629,0.8656,0.9998
NetIntrusion,6,noise,0.1991,0.8406,0.9998
NetIntrusion,7,evasive,0.2362,0.8091,0.9998
NetIntrusion,8,mimicry,0.2756,0.7754,0.9998
NetIntrusion,9,noise,0.3181,0.7392,0.9998
NetIntrusion,10,evasive,0.3524,0.7092,0.9998
NetIntrusion,11,mimicry,0.4045,0.6757,0.9998
NetIntrusion,12,noise,0.4343,0.6444,0.9998
NetIntrusion,13,evasive,0.4749,0.6169,0.9998
NetIntrusion,14,mimicry,0.5203,0.5854,0.9998
NetIntrusion,15,noise,0.5518,0.5506,0.9998
CICIDS2017,1,evasive,0.0127,0.9962,0.9979
CICIDS2017,2,mimicry,0.0422,0.9471,0.9979
CICIDS2017,3,noise,0.0675,0.8881,0.9979
CICIDS2017,4,evasive,0.096,0.8377,0.9979
CICIDS2017,5,mimicry,0.1218,0.776,0.9979
CICIDS2017,6,noise,0.1537,0.7214,0.9979
CICIDS2017,7,evasive,0.1941,0.668,0.9979
CICIDS2017,8,mimicry,0.2159,0.6152,0.9979
CICIDS2017,9,noise,0.2387,0.5586,0.9979
CICIDS2017,10,evasive,0.2668,0.498,0.9979
CICIDS2017,11,mimicry,0.2937,0.4472,0.9979
CICIDS2017,12,noise,0.3287,0.3916,0.9979
CICIDS2017,13,evasive,0.3576,0.3351,0.9979
CICIDS2017,14,mimicry,0.3772,0.2793,0.9979
CICIDS2017,15,noise,0.4132,0.2313,0.9979
UNSW-NB15,1,evasive,0.008,0.9739,0.9794
UNSW-NB15,2,mimicry,0.0322,0.9794,0.9794
UNSW-NB15,3,noise,0.0661,0.9758,0.9794
UNSW-NB15,4,evasive,0.09,0.9741,0.9794
UNSW-NB15,5,mimicry,0.1154,0.9794,0.9794
UNSW-NB15,6,noise,0.1462,0.9782,0.9794
UNSW-NB15,7,evasive,0.1711,0.9794,0.9794
UNSW-NB15,8,mimicry,0.197,0.9791,0.9794
UNSW-NB15,9,noise,0.2264,0.9775,0.9794
UNSW-NB15,10,evasive,0.2495,0.9773,0.9794
UNSW-NB15,11,mimicry,0.2714,0.9794,0.9794
UNSW-NB15,12,noise,0.2991,0.9794,0.9794
UNSW-NB15,13,evasive,0.3248,0.9792,0.9794
UNSW-NB15,14,mimicry,0.3549,0.9794,0.9794
UNSW-NB15,15,noise,0.3749,0.9774,0.9794
