Tier,Archetype,Attacker_Acc,Fool_Rate,Pass80
Tier-1 (Decision Stump),CarefulPlanner,0.5833,0.8333,1
Tier-1 (Decision Stump),SocialButterfly,0.5097,0.9806,1
Tier-1 (Decision Stump),LoneWolf,0.5354,0.9293,1
Tier-1 (Decision Stump),NightOwl,0.5148,0.9705,1
Tier-1 (Decision Stump),Collaborator,0.5837,0.8325,1
Tier-1 (Decision Stump),InfoSeeker,0.5806,0.8389,1
Tier-1 (Decision Stump),DataHandler,0.5113,0.9774,1
Tier-1 (Decision Stump),SystemAdmin,0.5521,0.8958,1
Tier-1 (Decision Stump),ExternalComm,0.537,0.9259,1
Tier-1 (Decision Stump),MultiTasker,0.5164,0.9672,1
Tier-2 (Logistic Reg),CarefulPlanner,0.5918,0.8163,1
Tier-2 (Logistic Reg),SocialButterfly,0.5499,0.9002,1
Tier-2 (Logistic Reg),LoneWolf,0.5808,0.8384,1
Tier-2 (Logistic Reg),NightOwl,0.6103,0.7795,0
Tier-2 (Logistic Reg),Collaborator,0.5785,0.843,1
Tier-2 (Logistic Reg),InfoSeeker,0.6072,0.7856,0
Tier-2 (Logistic Reg),DataHandler,0.6,0.8,1
Tier-2 (Logistic Reg),SystemAdmin,0.592,0.816,1
Tier-2 (Logistic Reg),ExternalComm,0.5839,0.8323,1
Tier-2 (Logistic Reg),MultiTasker,0.5428,0.9144,1
Tier-3 (RF depth=3),CarefulPlanner,0.6483,0.7033,0
Tier-3 (RF depth=3),SocialButterfly,0.5778,0.8444,1
Tier-3 (RF depth=3),LoneWolf,0.6333,0.7333,0
Tier-3 (RF depth=3),NightOwl,0.6386,0.7228,0
Tier-3 (RF depth=3),Collaborator,0.5872,0.8256,1
Tier-3 (RF depth=3),InfoSeeker,0.6229,0.7543,0
Tier-3 (RF depth=3),DataHandler,0.6113,0.7774,0
Tier-3 (RF depth=3),SystemAdmin,0.6221,0.7559,0
Tier-3 (RF depth=3),ExternalComm,0.6229,0.7541,0
Tier-3 (RF depth=3),MultiTasker,0.5879,0.8242,1
